period,user_id,daily_pageviews
2018-10-13T00:00:00Z,1044,1
2018-10-17T00:00:00Z,1044,1
2018-10-19T00:00:00Z,1044,1
2018-10-20T00:00:00Z,1044,1
2018-10-22T00:00:00Z,1044,2
2018-10-30T00:00:00Z,1044,2
2018-09-21T00:00:00Z,1092,3
2018-09-24T00:00:00Z,1092,12
2018-09-26T00:00:00Z,1092,18
2018-10-02T00:00:00Z,1092,18
2018-10-03T00:00:00Z,1092,41
2018-10-29T00:00:00Z,1092,4
2018-10-30T00:00:00Z,1092,15
2018-10-31T00:00:00Z,1092,7
2018-11-07T00:00:00Z,1092,1
2018-11-09T00:00:00Z,1092,8
2018-11-14T00:00:00Z,1092,11
2018-11-16T00:00:00Z,1092,1
2018-09-13T00:00:00Z,1156,1
2018-09-20T00:00:00Z,1156,2
2018-09-23T00:00:00Z,1156,27
2018-09-24T00:00:00Z,1156,2
2018-09-26T00:00:00Z,1156,13
2018-09-27T00:00:00Z,1156,22
2018-09-28T00:00:00Z,1156,2
2018-10-18T00:00:00Z,1156,10
2018-10-19T00:00:00Z,1156,1
2018-09-12T00:00:00Z,1228,7
2018-09-19T00:00:00Z,1228,11
2018-09-20T00:00:00Z,1228,10
2018-09-23T00:00:00Z,1228,3
2018-09-27T00:00:00Z,1228,10
2018-09-28T00:00:00Z,1228,17
2018-10-02T00:00:00Z,1228,3
2018-10-04T00:00:00Z,1228,10
2018-10-05T00:00:00Z,1228,4
2018-10-06T00:00:00Z,1228,3
2018-10-09T00:00:00Z,1228,3
2018-10-17T00:00:00Z,1228,23
2018-10-18T00:00:00Z,1228,1
2018-10-19T00:00:00Z,1228,9
2018-11-03T00:00:00Z,1228,1
2018-11-05T00:00:00Z,1228,5
2018-11-16T00:00:00Z,1228,1
2018-09-21T00:00:00Z,1244,3
2018-10-02T00:00:00Z,1244,7
2018-10-03T00:00:00Z,1244,15
2018-10-04T00:00:00Z,1244,4
2018-10-05T00:00:00Z,1244,3
2018-10-06T00:00:00Z,1244,4
2018-10-09T00:00:00Z,1244,5
2018-10-10T00:00:00Z,1244,6
2018-10-15T00:00:00Z,1244,1
2018-10-16T00:00:00Z,1244,5
2018-10-17T00:00:00Z,1244,11
2018-10-21T00:00:00Z,1244,1
2018-10-22T00:00:00Z,1244,1
2018-10-23T00:00:00Z,1244,1
2018-10-24T00:00:00Z,1244,11
2018-10-30T00:00:00Z,1244,5
2018-10-31T00:00:00Z,1244,9
2018-11-05T00:00:00Z,1244,6
2018-11-06T00:00:00Z,1244,2
2018-11-07T00:00:00Z,1244,9
2018-11-08T00:00:00Z,1244,5
2018-11-14T00:00:00Z,1244,12
2018-11-15T00:00:00Z,1244,1
2018-09-18T00:00:00Z,1324,2
2018-09-20T00:00:00Z,1324,16
2018-09-21T00:00:00Z,1324,5
2018-09-25T00:00:00Z,1324,7
2018-09-26T00:00:00Z,1324,6
2018-09-30T00:00:00Z,1324,1
2018-10-01T00:00:00Z,1324,2
2018-10-02T00:00:00Z,1324,12
2018-10-06T00:00:00Z,1324,5
2018-10-07T00:00:00Z,1324,7
2018-10-12T00:00:00Z,1324,8
2018-10-15T00:00:00Z,1324,8
2018-10-16T00:00:00Z,1324,22
2018-10-21T00:00:00Z,1324,4
2018-10-22T00:00:00Z,1324,8
2018-10-23T00:00:00Z,1324,4
2018-10-30T00:00:00Z,1324,27
2018-11-05T00:00:00Z,1324,3
2018-11-06T00:00:00Z,1324,21
2018-11-07T00:00:00Z,1324,6
2018-11-08T00:00:00Z,1324,1
2018-11-11T00:00:00Z,1324,1
2018-11-12T00:00:00Z,1324,6
2018-11-13T00:00:00Z,1324,5
2018-11-14T00:00:00Z,1324,4
2018-11-16T00:00:00Z,1324,2
2018-09-23T00:00:00Z,1402,4
2018-09-27T00:00:00Z,1402,11
2018-10-02T00:00:00Z,1402,1
2018-10-04T00:00:00Z,1402,1
2018-10-05T00:00:00Z,1402,8
2018-10-06T00:00:00Z,1402,1
2018-10-09T00:00:00Z,1402,10
2018-10-12T00:00:00Z,1402,1
2018-10-15T00:00:00Z,1402,18
2018-10-17T00:00:00Z,1402,25
2018-10-18T00:00:00Z,1402,12
2018-10-23T00:00:00Z,1402,21
2018-10-24T00:00:00Z,1402,9
2018-10-29T00:00:00Z,1402,5
2018-10-30T00:00:00Z,1402,36
2018-10-31T00:00:00Z,1402,29
2018-11-07T00:00:00Z,1402,48
2018-11-16T00:00:00Z,1402,1
2018-09-24T00:00:00Z,1458,2
2018-09-27T00:00:00Z,1458,2
2018-09-28T00:00:00Z,1458,4
2018-10-01T00:00:00Z,1458,5
2018-10-03T00:00:00Z,1458,1
2018-10-04T00:00:00Z,1458,14
2018-10-05T00:00:00Z,1458,37
2018-10-10T00:00:00Z,1458,3
2018-10-11T00:00:00Z,1458,43
2018-10-13T00:00:00Z,1458,4
2018-10-18T00:00:00Z,1458,2
2018-10-19T00:00:00Z,1458,74
2018-10-20T00:00:00Z,1458,18
2018-10-30T00:00:00Z,1458,2
2018-11-13T00:00:00Z,1458,4
2018-09-19T00:00:00Z,1505,1
2018-09-24T00:00:00Z,1505,3
2018-10-04T00:00:00Z,1505,26
2018-10-16T00:00:00Z,1505,1
2018-10-17T00:00:00Z,1505,1
2018-10-19T00:00:00Z,1505,4
2018-10-29T00:00:00Z,1505,2
2018-09-22T00:00:00Z,1611,5
2018-09-24T00:00:00Z,1611,11
2018-09-27T00:00:00Z,1611,1
2018-09-30T00:00:00Z,1611,4
2018-10-02T00:00:00Z,1611,5
2018-10-03T00:00:00Z,1611,28
2018-10-04T00:00:00Z,1611,37
2018-10-05T00:00:00Z,1611,2
2018-10-09T00:00:00Z,1611,4
2018-10-11T00:00:00Z,1611,10
2018-10-16T00:00:00Z,1611,24
2018-10-17T00:00:00Z,1611,8
2018-10-18T00:00:00Z,1611,10
2018-10-28T00:00:00Z,1611,4
2018-11-08T00:00:00Z,1611,1
2018-09-19T00:00:00Z,1634,3
2018-09-21T00:00:00Z,1634,10
2018-09-23T00:00:00Z,1634,5
2018-09-24T00:00:00Z,1634,7
2018-09-25T00:00:00Z,1634,2
2018-09-27T00:00:00Z,1634,36
2018-10-09T00:00:00Z,1634,1
2018-10-10T00:00:00Z,1634,15
2018-10-11T00:00:00Z,1634,15
2018-10-15T00:00:00Z,1634,2
2018-10-19T00:00:00Z,1634,2
2018-10-21T00:00:00Z,1634,2
2018-10-23T00:00:00Z,1634,2
2018-11-04T00:00:00Z,1634,3
2018-11-06T00:00:00Z,1634,3
2018-11-09T00:00:00Z,1634,7
2018-09-24T00:00:00Z,1644,29
